1,1,Content of Computer systems ,"This component will introduce learners to the internal workings of the Central Processing Unit (CPU), the exchange	of	data	and	will	also	look	at	software	development, data types and legal and ethical issues. It is expected that learners will draw on this underpinning	content	when	studying	computational	thinking, developing programming techniques and devising their own programming approach in the Programming project component (03 or 04). 
Learners will be expected to apply the criteria below in different	contexts	including	current	and	future	uses	of	the technologies",0
1,2,Content of Algorithms and programming ,"This component will incorporate and build on the
knowledge and understanding gained in the Computer
systems component (01).
In addition, learners should:
• understand what is meant by computational thinking
• understand the benefits of applying computational thinking to solving a wide variety of problems
• understand the principles of solving problems by computational methods
• be able to use algorithms to describe problems
• be able to analyse a problem by identifying its component parts.",0
1,3,Content of non exam assessment Programming project ,"Learners will be expected to analyse, design, develop, test, evaluate and document a program written in a suitable programming language. The underlying approach to the project is to apply the principles of computational thinking to a practical coding problem.
Learners are expected to apply appropriate principles from an agile development approach to the project development.
While the project assessment criteria are organised into specific categories, it is anticipated the final report will document the agile development process and elements for each of the assessment categories will appear throughout the report.",0
2,1.1," The characteristics of contemporary processors, input, output and storage devices",Components of a computer and their uses,1
2,1.2,Software and software development,Types of software and the different methodologies used to develop software,1
2,1.3,Exchanging data,How data is exchanged between different systems,1
2,1.4,"Data types, data structures and algorithms",How data is represented and stored within different structures. Different algorithms that can be applied to these structures,1
2,1.5," Legal, moral, cultural and ethical issues","The individual moral, social, ethical and cultural opportunities and risks of digital technology. Legislation surrounding the use of computers and ethical issues that can or may in the future arise from the use of computers",1
2,2.1,Elements of computational thinking,Understand what is meant by computational thinking,2
2,2.2, Problem solving and programming,How computers can be used to solve problems and programs can be written to solve them  (Learners will benefit from being able to program in a procedure/imperative language and object oriented language.),2
2,2.3,Algorithms,The use of algorithms to describe problems and standard algorithms,2
2,3.1,Analysis of the problem,10 Marks,3
2,3.2,Design of the solution,15 Marks,3
2,3.3,Developing the solution,25 marks,3
2,3.4,Evaluation,20 marks,3
3,1.1.1,Structure and function of the processor,,1.1
3,1.1.2,Types of processor,,1.1
3,1.1.3,"Input, output and storage",,1.1
3,1.2.1,Systems Software,,1.2
3,1.2.2,Applications Generation,,1.2
3,1.2.3,Software Development,,1.2
3,1.2.4,Types of Programming Language,,1.2
3,1.3.1,"Compression, Encryption and Hashing",,1.3
3,1.3.2,Databases,,1.3
3,1.3.3,Networks,,1.3
